"id","author","pub.year","title","inc.abst.ahe","inc.abst.sem","inc.full.read","reason","found.by.ref","country","coding.sys","sepsis.def","org.fail.def","data.source","sample.frac.n.units","stud.pop.size","ex.crit.A","ex.crit.B","ex.crit.C","int.valid","study.year.1","study.year.2","study.year.3","study.year.4","study.year.5","study.year.6","study.year.7","study.year.8","study.year.9","study.year.10","study.year.11","avg.age.1","avg.age.2","avg.age.3","avg.age.4","avg.age.5","avg.age.6","avg.age.7","avg.age.8","avg.age.9","avg.age.10","avg.age.11","incid.1","incid.2","incid.3","incid.4","incid.5","incid.6","incid.7","incid.8","incid.9","incid.10","incid.11","severe.incid.1","severe.incid.2","severe.incid.3","severe.incid.4","severe.incid.5","severe.incid.6","severe.incid.7","severe.incid.8","severe.incid.9","severe.incid.10","severe.incid.11","note"
"1","Abbott, K. C.; Oliver, J. D. 3rd; Hypolite, I.; Lepler, L. L.; Kirk, A. D.; Ko, C. W.; Hawkes, C. A.; Jones, C. A.; Agodoa, L. Y.",2001,"Hospitalizations for bacterial septicemia after renal transplantation in the united states.",0,0,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Abbott, Kevin C.; Napier, Malcolm G.; Agodoa, Lawrence Y. C.",2002,"Hospitalizations for bacterial septicemia in patients with end stage renal disease due to diabetes on the renal transplant waiting list.",0,0,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Abraham, E.; Laterre, P. F.; Garbino, J.; Pingleton, S.; Butler, T.; Dugernier, T.; Margolis, B.; Kudsk, K.; Zimmerli, W.; Anderson, P.; Reynaert, M.; Lew, D.; Lesslauer, W.; Passe, S.; Cooper, P.; Burdeska, A.; Modi, M.; Leighton, A.; Salgo, M.; Van der Auwera, P.",2001,"Lenercept (p55 tumor necrosis factor receptor fusion protein) in severe sepsis and early septic shock: a randomized, double-blind, placebo-controlled, multicenter phase III trial with 1,342 patients.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Abraham, E.; Reinhart, K.; Svoboda, P.; Seibert, A.; Olthoff, D.; Dal Nogare, A.; Postier, R.; Hempelmann, G.; Butler, T.; Martin, E.; Zwingelstein, C.; Percell, S.; Shu, V.; Leighton, A.; Creasey, A. A.",2001,"Assessment of the safety of recombinant tissue factor pathway inhibitor in patients with severe sepsis: a multicenter, randomized, placebo-controlled, single-blind, dose escalation study.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Abraham, Edward; Laterre, Pierre-Francois; Garg, Rekha; Levy, Howard; Talwar, Deepak; Trzaskoma, Benjamin L.; Francois, Bruno; Guy, Jeffrey S.; Bruckmann, Martina; Rea-Neto, Alvaro; Rossaint, Rolf; Perrotin, Dominique; Sablotzki, Armin; Arkins, Nancy; Utterback, Barbara G.; Macias, William L.",2005,"Drotrecogin alfa (activated) for adults with severe sepsis and a low risk of death.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Abu-Osba, Y. K.; Mallouh, A. A.; Hann, R. W.",1989,"Incidence and causes of sepsis in glucose-6-phosphate dehydrogenase-deficient newborn infants.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Abu-Sharar, Ziad; Robinson, Ashley; Lavoie, Pascal M.",2010,"Incidence of septicemia immediately after elective gastrointestinal contrast procedures in infants: a cohort study.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Acosta, Colleen D.; Knight, Marian; Lee, Henry C.; Kurinczuk, Jennifer J.; Gould, Jeffrey B.; Lyndon, Audrey",2013,"The continuum of maternal sepsis severity: incidence and risk factors in a population-based cohort study.",0,0,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Adler, Amos; Gottesman, Giora; Dolfin, Tzipora; Arnon, Shmuel; Regev, Rivka; Bauer, Sophia; Litmanovitz, Ita",2005,"Bacillus species sepsis in the neonatal intensive care unit.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Afroza, S.",2006,"Neonatal sepsis-- a global problem: an overview.",0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Agnihotri, Nalini; Kaistha, Neelam; Gupta, Varsha",2004,"Antimicrobial susceptibility of isolates from neonatal septicemia.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Ahmed, Wasim; Memon, Javed I.; Rehmani, Rifat; Al Juhaiman, Abdulmajeed",2014,"Outcome of patients with acute kidney injury in severe sepsis and septic shock treated with early goal-directed therapy in an intensive care unit.",0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Alam, Muhammad Matloob; Saleem, Ali Faisal; Shaikh, Abdul Sattar; Munir, Owais; Qadir, Maqbool",2014,"Neonatal sepsis following prolonged rupture of membranes in a tertiary care hospital in Karachi, Pakistan.",0,0,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
